AU,,please.enquire,,time@measurement.gov.au
AU,,ntp1.cs.mu.OZ.AU,128.250.36.3,ntp@cs.mu.OZ.AU
AU,,ntp0.coreng.com.au,203.60.1.2,ntp@coreng.com.au
AU,,ntp0.cs.mu.OZ.AU,128.250.37.2,ntp@cs.mu.OZ.AU
BR,,ntp1.rnp.br,200.19.119.69,admin@rnp.br
BR,,ntps1.pads.ufrj.br,146.164.48.5,szendro@pads.ufrj.br
BR,,ntps1.pads.ufrj.br,146.164.48.5,szendro@pads.ufrj.br
CA,,clock.uregina.ca,142.3.100.2,timekeeper@uregina.ca
CA,,subitaneous.cpsc.ucalgary.ca,136.159.2.254,timemaster@cpsc.ucalgary.ca
CA,,tick.usask.ca,128.233.193.242,hovdestad@usask.ca
CA,,tock.usask.ca,128.233.150.93,hovdestad@usask.ca
CH,,ntp.favey.ch,213.144.132.141,ntp@favey.ch
CH,,ntp.metas.ch,193.5.216.14,bernier@metas.ch
CH,,swisstime.ethz.ch,129.132.2.21,time@iis.ee.ethz.ch
CL,,ntp.dgf.uchile.cl,146.83.8.200,gperez@dgf.uchile.cl
CL,,ntp.shoa.cl,200.54.149.19,rvergara@shoa.cl
CZ,,ntp.cesnet.cz,195.113.144.201,admin@cesnet.cz
DE,,ntp1.fau.de,131.188.3.221,time@informatik.uni
DE,,ntp3.fau.de,131.188.3.223,time@informatik.uni
DE,,ntp2.fau.de,131.188.3.222,time@informatik.uni
DE,,ntp0.fau.de,131.188.3.220,time@informatik.uni
DE,,ntps1-1.cs.tu-berlin.de,130.149.17.8,gg@cs.tu
DE,,ntps1-0.cs.tu-berlin.de,130.149.17.21,gg@cs.tu
DE,,ptbtime1.ptb.de,192.53.103.103,admin@ptb.de
DE,,ptbtime2.ptb.de,192.53.103.104,admin@ptb.de
DE,,rustime01.rus.uni-stuttgart.de,129.69.1.153,wehinger@rus.uni
DE,,time1.one4vision.de,212.82.32.15,timekeeper@one4vision.de
DK,,gps.dix.dk,192.38.7.240,phk@FreeBSD.org
DK,,gps.freebsd.dk,212.242.86.172,phk@FreeBSD.org
FR,,canon.inria.fr,192.93.2.20,adm@inria.fr
FR,,chronos.cru.fr,195.220.94.163,timemaster@cru.fr
FR,,ntp1.curie.fr,193.49.205.19,adm@curie.fr
FR,,ntp-p1.obspm.fr,145.238.110.49,syrte@obspm.fr
FR,,ntp-sop.inria.fr,138.96.64.10,adm@sophia.inria.fr
FR,,ntp3.curie.fr,193.49.205.18,adm@curie.fr
FR,,ntp2.curie.fr,193.49.205.17,adm@curie.fr
HK,,stdtime.gov.hk,203.129.68.14,
IE,,ntp-galway.hea.net,140.203.16.5,ntp@it.nuigalway.ie
IT,,ntp1.ien.it,193.204.114.232,info@ien.it
IT,,ntp2.ien.it,193.204.114.233,info@ien.it
IT,,tempo.cstv.to.cnr.it,,pollastri@cstv.to.cnr.it
JP,,clock.nc.fukuoka-u.ac.jp,133.100.9.2,tsuruoka@fukuoka
JP,,clock.tl.fukuoka-u.ac.jp,133.100.11.8,tsuruoka@fukuoka
MX,,cronos.cenam.mx,200.23.51.205,jlopez@cenam.mx
NL,,ntp6.remco.org,,remco@denbesten.net
NL,,ntp1.nl.net,193.79.237.14,beheer@nl.net
NL,,ntp.remco.org,80.127.4.179,remco@denbesten.net
NL,,ntp2.nl.net,193.79.237.14,beheer@nl.net
NL,,ntp0.nl.net,193.67.79.202,beheer@nl.net
NO,,time.service.uit.no,129.242.4.254,timekeeper@uit.no
NZ,,clock1.canterbury.ac.nz,132.181.10.44,pete@cosc.canterbury.ac.nz
PL,,ntp.certum.pl,217.153.69.35,wslusarczyk@certum.pl
PL,,vega.cbk.poznan.pl,150.254.183.15,kondor@cbk.poznan.pl
RU,,ntp1.imvp.ru,62.117.76.142,bav@imvp.ru
RU,,ntp3.imvp.ru,62.117.76.140,bav@imvp.ru
RU,,ntp2.imvp.ru,62.117.76.141,bav@imvp.ru
SE,,ntp1.gbg.netnod.se,192.36.133.17,magnus@netnod.se
SE,,ntp1.mmo.netnod.se,192.36.134.17,magnus@netnod.se
SE,,ntp1.sp.se,193.10.7.250,info@sp.se
SE,,ntp1.sth.netnod.se,192.36.144.22,magnus@netnod.se
SE,,ntp2.gbg.netnod.se,192.36.133.25,magnus@netnod.se
SE,,ntp2.mmo.netnod.se,192.36.134.25,magnus@netnod.se
SE,,ntp2.sp.se,193.10.7.246,info@sp.se
SE,,ntp2.sth.netnod.se,192.36.144.23,magnus@netnod.se
SE,,time1.stupi.se,192.36.143.150,roll@Stupi.SE
SE,,time2.stupi.se,192.36.143.151,roll@stupi.se
SG,,jamtepat.singnet.com.sg,165.21.1.7,timekeeper@singnet.com.sg
SG,,nets.org.sg,203.117.180.36,lyy@spring.gov.sg
SI,,goodtime.ijs.si,193.2.4.2,timekeeper@ijs.si
UK,,chronos.csr.net,194.35.252.5,chrisb@csr.net
UK,,ntp.my-inbox.co.uk,81.168.77.149,phil@my
UK,,ntp2.ja.net,193.63.105.18,nosc@nosc.ja.net
US,AK,ntp.alaska.edu,199.165.76.11,res@tuttle.usno.navy.mil
US,AZ,father-time.t-bird.edu,198.153.152.52,fordt@t
US,CA,clepsydra.dec.com,204.123.2.5,admin@wrl
US,CA,clock.fmt.he.net,216.218.192.202,support@he.net
US,CA,clock.isc.org,204.152.184.72,paul@vix.com
US,CA,clock.sjc.he.net,216.218.254.202,support@he.net
US,CA,clock.via.net,209.81.9.7,joe@via.net
US,CA,gpstime.trimble.com,65.203.60.206,sven_dietrich@trimble.com
US,CA,montpelier.ilan.caltech.edu,192.12.19.20,res@tuttle.usno.navy.mil
US,CA,nist1.aol-ca.truetime.com,207.200.81.113,jlevine@boulder.nist.gov
US,CA,nist1.datum.com,69.25.96.13,jlevine@boulder.nist.gov
US,CA,nist1-sj.glassey.com,207.126.98.204,jlevine@boulder.nist.gov
US,CA,ntp-cup.external.hp.com,192.6.38.127,timer@cup.hp.com
US,CA,ntp.nasa.gov,198.123.30.132,clockmaster@ntp.nasa.gov
US,CA,t1.timegps.net,207.145.113.114,x@sn.to
US,CA,t2.timegps.net,207.145.113.115,x@sn.to
US,CA,t3.timegps.net,207.145.113.116,x@sn.to
US,CA,tick.gpsclock.com,206.223.0.15,clock@gpsclock.com
US,CA,tick.ucla.edu,164.67.62.194,res@tuttle.usno.navy.mil
US,CA,time.no-such-agency.net,64.142.103.194,timelord@no
US,CA,timekeeper.isi.edu,128.9.176.30,action@isi.edu
US,CA,tock.gpsclock.com,216.152.68.20,clock@gpsclock.com
US,CA,usno.pa-x.dec.com,204.123.2.72,res@tuttle.usno.navy.mil
US,CO,tick.usnogps.navy.mil,204.34.198.40,res@tuttle.usno.navy.mil
US,CO,time-a.nist.gov,129.6.15.28,
US,CO,time-a.timefreq.bldrdoc.gov,132.163.4.101,jlevine@boulder.nist.gov
US,CO,time-b.timefreq.bldrdoc.gov,132.163.4.103,jlevine@boulder.nist.gov
US,CO,time-c.timefreq.bldrdoc.gov,132.163.4.102,jlevine@boulder.nist.gov
US,CO,time-d.timefreq.bldrdoc.gov,132.163.4.104,jlevine@boulder.nist.gov
US,CO,time.nist.gov,192.43.244.18,jlevine@boulder.nist.gov
US,CO,tock.usnogps.navy.mil,204.34.198.41,res@tuttle.usno.navy.mil
US,CO,utcnist.colorado.edu,128.138.140.44,jlevine@boulder.nist.gov
US,DC,ntp2.usno.navy.mil,192.5.41.209,res@tuttle.usno.navy.mil
US,DC,tick.usno.navy.mil,192.5.41.40,res@tuttle.usno.navy.mil
US,DC,tock.usno.navy.mil,192.5.41.41,res@tuttle.usno.navy.mil
US,DE,mizbeaver.udel.edu,128.4.1.2,
